season,date,playoff,neutral,status,home_team,away_team,home_team_abbr,away_team_abbr,home_team_pregame_rating,away_team_pregame_rating,home_team_winprob,away_team_winprob,home_team_score,away_team_score,home_team_postgame_rating,away_team_postgame_rating,commissioners_cup_final
1997,1997-08-06,0,0,post,Cleveland Rockers,Los Angeles Sparks,CLE,LAS,1541.5741680829,1508.93484950115,0.656650726583932,0.343349273416068,84,87,1530.27714542486,1520.23187215919,0
1997,1997-08-07,0,0,post,Sacramento Monarchs,Las Vegas Aces,SAC,LVA,1382.52352321656,1394.64686352109,0.596458290068607,0.403541709931393,93,78,1396.95259681022,1380.21778992744,0
1997,1997-08-08,0,0,post,Houston Comets,Los Angeles Sparks,HOU,LAS,1599.70357449666,1520.23187215919,0.714632971113977,0.285367028886023,72,71,1602.56776701883,1517.36767963703,0
1997,1997-08-08,0,0,post,Charlotte Sting,Phoenix Mercury,CHA,PHO,1507.84769566687,1523.60898841649,0.591407684136882,0.408592315863118,79,59,1525.67168816332,1505.78499592004,0
1997,1997-08-09,0,0,post,Sacramento Monarchs,New York Liberty,SAC,NYL,1396.95259681022,1541.16033709827,0.408635392177369,0.591364607822631,76,69,1411.63690527773,1526.47602863076,0
1997,1997-08-10,0,0,post,Las Vegas Aces,Cleveland Rockers,LVA,CLE,1380.21778992744,1530.27714542486,0.40052116233175,0.59947883766825,59,74,1365.9203989527,1544.5745363996,0
1997,1997-08-10,0,0,post,Charlotte Sting,Houston Comets,CHA,HOU,1525.67168816332,1602.56776701883,0.504466782763304,0.495533217236696,62,72,1510.97688481796,1617.26257036419,0
1997,1997-08-11,0,0,post,Phoenix Mercury,New York Liberty,PHO,NYL,1505.78499592004,1526.47602863076,0.584532954059679,0.415467045940321,77,67,1517.31039315028,1514.95063140051,0
1997,1997-08-11,0,0,post,Houston Comets,Las Vegas Aces,HOU,LVA,1617.26257036419,1365.9203989527,0.870722138820418,0.129277861179582,76,56,1621.94948836254,1361.23348095436,0
1997,1997-08-11,0,0,post,Sacramento Monarchs,Cleveland Rockers,SAC,CLE,1411.63690527773,1544.5745363996,0.424400749361454,0.575599250638546,81,76,1423.48046384419,1532.73097783314,0
1997,1997-08-13,0,0,post,Charlotte Sting,Sacramento Monarchs,CHA,SAC,1510.97688481796,1423.48046384419,0.723959309679907,0.276040690320093,68,51,1520.96036387639,1413.49698478576,0
